DATE/TIME,CODE,SPACE,FLOOR,EVENT
1/9/2023 9:27:06 AM,SI55ZC02ASF/DC03 ,027007055,SF/DC03 TP1,Occupied
1/9/2023 9:26:47 AM,SI48ZC01BSF/DC03 ,027008048,SF/DC03 TP1,Occupied
1/9/2023 9:26:43 AM,SI54ZC02ASF/DC03 ,027007054,SF/DC03 TP1,Occupied
1/9/2023 9:26:42 AM,SI44ZC01ASF/DC03 ,027006044,SF/DC03 TP1,Occupied
1/9/2023 9:26:11 PM,SI24ZC01ASF/DC03 ,027006024,SF/DC03 TP1,Vacant
1/9/2023 9:26:02 AM,SI29ZC01BSF/DC03 ,027008029,SF/DC03 TP1,Occupied
1/9/2023 9:25:55 AM,SI52ZC02ASF/DC03 ,027007052,SF/DC03 TP1,Occupied
1/9/2023 9:25:52 PM,SI24ZC01ASF/DC03 ,027006024,SF/DC03 TP1,Occupied
1/9/2023 9:25:36 AM,SI67ZC02BSF/DC03 ,027009067,SF/DC03 TP1,Occupied
1/9/2023 9:25:30 AM,SI03ZC01BSF/DC03 ,027008003,SF/DC03 TP1,Occupied
1/9/2023 9:24:56 AM,SI61ZC02ASF/DC03 ,027007061,SF/DC03 TP1,Occupied
1/9/2023 9:24:52 AM,SI06ZC02BSF/DC03 ,027009006,SF/DC03 TP1,Occupied
1/9/2023 9:24:52 AM,SI70ZC02BSF/DC03 ,027009070,SF/DC03 TP1,Occupied
1/9/2023 9:24:50 AM,SI40ZC01BSF/DC03 ,027008040,SF/DC03 TP1,Occupied
1/9/2023 9:24:42 AM,SI40ZC01BSF/DC03 ,027008040,SF/DC03 TP1,Vacant
1/9/2023 9:24:41 AM,SI68ZC02ASF/DC03 ,027007068,SF/DC03 TP1,Occupied
1/9/2023 9:24:27 AM,SI40ZC01BSF/DC03 ,027008040,SF/DC03 TP1,Occupied
1/9/2023 9:24:14 AM,SI04ZC02ASF/DC03 ,027007004,SF/DC03 TP1,Vacant
1/9/2023 9:23:59 AM,SI04ZC02ASF/DC03 ,027007004,SF/DC03 TP1,Occupied
1/9/2023 9:23:47 AM,SI47ZC01BSF/DC03 ,027008047,SF/DC03 TP1,Occupied
1/9/2023 9:23:32 AM,SI28ZC01BSF/DC03 ,027008028,SF/DC03 TP1,Occupied
1/9/2023 9:23:19 AM,SI07ZC02ASF/DC03 ,027007007,SF/DC03 TP1,Occupied
1/9/2023 9:23:10 AM,SI07ZC02ASF/DC03 ,027007007,SF/DC03 TP1,Vacant
1/9/2023 9:22:48 AM,SI04ZC01BSF/DC03 ,027008004,SF/DC03 TP1,Occupied
